field_name,rule_type,early_fields,late_fields,late_prediction_top_value,late_ground_truth_top_value,early_prediction_top_share,late_prediction_top_share,early_ground_truth_top_share,late_ground_truth_top_share,late_concentration_gap,prediction_concentration_delta,early_raw,late_raw
action_status,short_exact,2421,3796,in progress,in progress,0.885997521685254,0.8640674394099052,0.644361833952912,0.6467334035827187,0.21733403582718647,-0.021930082275348872,0.5803387030152829,0.5619072708113804
presence_type,short_exact,9322,11164,upper body,visible,0.32514481870843165,0.5136151916875672,0.5325037545591075,0.35757792905768543,0.15603726262988177,0.18847037297913555,0.4598798541085604,0.4106950913651021
emotion,short_edit,133,203,celebratory,concerned vikings head coach kevin oconnell,0.09774436090225563,0.12315270935960591,0.10526315789473684,0.03940886699507389,0.08374384236453203,0.02540834845735028,0.2087354473633972,0.23376647355437719
sports_markers,short_exact,98,145,live,live,0.29591836734693877,0.5655172413793104,0.47959183673469385,0.4827586206896552,0.08275862068965517,0.2695988740323716,0.5,0.5655172413793104
spatial_region,short_exact,8592,11039,center,center,0.9294692737430168,0.9304284808406559,0.8878026070763501,0.8760757314974182,0.05435274934323764,0.000959207097639081,0.8382216014897579,0.8240782679590543
jersey_number,short_exact,126,108,97,97,0.07936507936507936,0.25,0.12698412698412698,0.2037037037037037,0.04629629629629631,0.17063492063492064,0.015873015873015872,0.17592592592592593
action_label,short_edit,911,2324,pitching to batter,running with ball,0.17672886937431395,0.09079173838209983,0.042810098792535674,0.047332185886402756,0.04345955249569708,-0.08593713099221412,0.28334649587537014,0.3501687458085893
utility_tags,short_edit,768,1211,highlight candidate,highlight candidate,0.19791666666666666,0.2402972749793559,0.24088541666666666,0.2014863748967795,0.0388109000825764,0.04238060831268925,0.4153311963188803,0.5080330152007301
play_action,short_edit,358,678,scramble,forced fumble,0.05307262569832402,0.0471976401179941,0.05027932960893855,0.029498525073746312,0.017699115044247787,-0.005874985580329922,0.4170125231085221,0.36442594237078785
play_result,short_edit,366,735,first down,incomplete pass,0.06557377049180328,0.10340136054421768,0.1092896174863388,0.08707482993197278,0.0163265306122449,0.0378275900524144,0.36239728905862,0.31007470540527515
team_name,short_edit,473,710,new york giants,miami dolphins,0.0613107822410148,0.13661971830985917,0.10782241014799154,0.1295774647887324,0.007042253521126779,0.07530893606884437,0.542441403562042,0.605789582411045
play_action,short_exact,527,909,sack,sack,0.15749525616698293,0.14301430143014301,0.17077798861480076,0.13861386138613863,0.004400440044004389,-0.014480954736839913,0.5123339658444023,0.42794279427942794
title,short_edit,729,642,introduction,introduction problem statement,0.0205761316872428,0.01557632398753894,0.010973936899862825,0.012461059190031152,0.0031152647975077885,-0.0049998076997038576,0.3091158961937628,0.3402564492672049
entity_name,short_exact,3514,6024,lucy hale,lucy hale,0.056915196357427436,0.06623505976095617,0.07797381900967558,0.06623505976095617,0.0,0.009319863403528736,0.2993739328400683,0.27224435590969454
goal_type,categorical,32,32,open play,open play,0.96875,1.0,1.0,1.0,0.0,0.03125,0.96875,1.0
